canvas_w	canvas_h	dab_radius_px	event_count	stroke_duration_ms	wall_total_ms	behind_by_ms	max_event_behind_ms	cpu_median_us	cpu_p95_us	cpu_max_us	submit_median_us	submit_p95_us	submit_max_us	dispatches_per_event_avg	dabs_per_event_avg	union_bbox_area_per_event_avg
1280	720	1	204	3536.000	3553.146	17.146	1.726	3619.00	5383.40	10102	1664.00	2569.40	3426	8.314	286.529	4654
1280	720	10	204	3536.000	3550.537	14.537	1.172	3394.00	4796.80	7930	1669.00	2201.20	3444	8.314	201.848	10854
1280	720	100	204	3536.000	3555.087	19.087	1.193	3006.00	4020.00	7060	1772.00	2251.00	3503	8.029	20.176	197168
1280	720	250	204	3536.000	3552.156	16.156	22.408	2973.00	4538.80	36508	1799.00	2548.00	3274	6.402	8.083	835616
1280	720	500	204	3536.000	3552.883	16.883	24.736	2716.00	3751.60	39036	1597.00	2129.00	2811	3.956	4.059	1837229
1280	720	1000	204	3536.000	3555.426	19.426	15.050	2696.00	4309.20	36450	1585.00	2444.20	3783	2.034	2.034	2255072
1280	720	2000	204	3536.000	3554.305	18.305	16.170	2554.00	3943.80	37570	1485.00	2111.80	14877	1.025	1.025	1466990
1920	1080	1	204	3536.000	3552.479	16.479	23.772	4203.00	6978.80	38072	1774.00	2808.60	3392	8.559	438.539	10081
1920	1080	10	204	3536.000	3549.747	13.747	24.919	3855.00	6184.40	39219	1769.00	2652.20	4003	8.559	308.828	18755
1920	1080	100	204	3536.000	3558.469	22.469	26.251	3328.00	5258.00	40551	1950.00	2872.60	3875	8.422	30.936	235482
1920	1080	250	204	3536.000	3554.305	18.305	21.437	3236.00	4470.60	35737	1928.00	2517.40	3694	7.642	12.353	1045568
1920	1080	500	204	3536.000	3555.939	19.939	17.676	3116.00	4650.40	39176	1868.00	2594.80	3707	5.539	6.230	2813993
1920	1080	1000	204	3536.000	3554.522	18.522	26.700	2656.00	4381.20	40700	1553.00	2355.80	2843	3.127	3.152	5348161
1920	1080	2000	204	3536.000	3554.322	18.322	26.955	2693.00	3863.20	42132	1570.00	2187.40	2886	1.613	1.613	5017430
2560	1440	1	204	3536.000	3553.030	17.030	17.513	4781.00	8235.00	39013	1885.00	3114.80	8344	8.814	596.951	17572
2560	1440	10	204	3536.000	3557.752	21.752	16.245	4034.00	6173.40	37745	1776.00	2326.00	2979	8.814	420.441	28767
2560	1440	100	204	3536.000	3553.910	17.910	31.973	3353.00	6312.40	45773	1994.00	3254.20	4042	8.755	42.137	275881
2560	1440	250	204	3536.000	3554.584	18.584	23.585	3238.00	4797.40	37995	1944.00	2661.60	5107	8.333	16.873	1198200
2560	1440	500	204	3536.000	3559.301	23.301	26.760	3119.00	5179.80	41060	1849.00	2904.60	3915	6.765	8.436	3516147
2560	1440	1000	204	3536.000	3553.842	17.842	13.498	3085.00	4804.80	36480	1819.00	2625.20	4467	4.123	4.245	7635587
2560	1440	2000	204	3536.000	3556.786	20.786	11.109	2781.00	4173.40	46809	1650.00	2384.60	3025	2.118	2.118	8789082
3840	2160	1	204	3536.000	3551.376	15.376	33.162	5224.00	7590.60	47462	1701.00	2207.80	3134	9.069	916.549	39237
3840	2160	10	204	3536.000	3551.775	15.775	28.731	4622.00	7244.60	43031	1723.00	2351.80	8804	9.069	645.534	55577
3840	2160	100	204	3536.000	3555.442	19.442	25.953	3368.00	5652.20	40253	1836.00	2863.00	15076	9.039	64.627	356606
3840	2160	250	204	3536.000	3555.845	19.845	22.258	3406.00	5805.60	40630	1991.00	3033.80	14013	8.853	25.819	1412694
3840	2160	500	204	3536.000	3557.028	21.028	26.503	3323.00	5520.40	41497	1958.00	3037.40	12645	8.069	12.926	4395837
3840	2160	1000	204	3536.000	3555.867	19.867	25.964	3702.00	7224.00	43606	2187.00	3464.80	18677	5.784	6.490	11656344
3840	2160	2000	204	3536.000	3660.374	124.374	108.775	18277.00	26756.40	122775	2163.00	19247.20	25006	3.279	3.309	20514778
