canvas_w	canvas_h	dab_radius_px	event_count	stroke_duration_ms	wall_total_ms	behind_by_ms	max_event_behind_ms	cpu_median_us	cpu_p95_us	cpu_max_us	gpu_median_us	gpu_p95_us	gpu_max_us
1280	720	1	204	3536.000	3542.856	6.856	8.504	4977.00	7799.00	11210	588.00	1228.20	1579
1280	720	10	204	3536.000	3542.777	6.777	7.950	4919.00	7702.20	11267	470.00	1214.00	2392
1280	720	100	204	3536.000	3540.548	4.548	8.388	4098.00	6276.20	10177	299.00	630.20	1097
1280	720	250	204	3536.000	3539.393	3.393	29.376	3701.00	5784.00	43376	353.00	951.40	2901
1280	720	500	204	3536.000	3539.680	3.680	29.619	3351.00	5515.80	43919	507.00	1305.80	2796
1280	720	1000	204	3536.000	3539.354	3.354	19.906	3123.00	6408.00	41306	868.00	2272.00	3731
1280	720	2000	204	3536.000	3539.532	3.532	14.923	2614.00	4046.20	36323	693.00	1729.80	4914
1920	1080	1	204	3536.000	3540.452	4.452	42.352	5294.00	7901.80	56652	401.00	1268.60	2299
1920	1080	10	204	3536.000	3540.200	4.200	26.905	5184.00	8203.80	41205	290.00	1116.80	2913
1920	1080	100	204	3536.000	3539.927	3.927	32.353	3938.00	6111.60	46653	189.00	546.60	1081
1920	1080	250	204	3536.000	3539.434	3.434	35.931	4336.00	6944.40	50231	375.00	825.60	1531
1920	1080	500	204	3536.000	3540.190	4.190	29.816	4137.00	5667.40	44116	626.00	1325.00	2229
1920	1080	1000	204	3536.000	3539.147	3.147	57.516	3952.00	8464.20	71516	1241.00	2611.20	7345
1920	1080	2000	204	3536.000	3540.254	4.254	37.741	3402.00	6184.80	52041	1244.00	2885.20	5097
2560	1440	1	204	3536.000	3539.593	3.593	24.278	5771.00	9660.60	45678	450.00	1622.20	3422
2560	1440	10	204	3536.000	3544.218	8.218	24.750	5580.00	8466.60	46150	392.00	1380.20	2412
2560	1440	100	204	3536.000	3540.403	4.403	21.158	4632.00	8355.20	42558	309.00	963.40	1416
2560	1440	250	204	3536.000	3540.921	4.921	8.663	4577.00	6781.00	39407	431.00	958.80	1869
2560	1440	500	204	3536.000	3540.202	4.202	34.301	4986.00	10162.20	48601	885.00	1924.80	2640
2560	1440	1000	204	3536.000	3830.908	294.908	26.240	18961.00	31947.60	47240	2034.00	4590.60	6274
2560	1440	2000	204	3536.000	3637.702	101.702	24.518	5292.00	28514.80	56108	2426.00	5570.20	10704
3840	2160	1	204	3536.000	3540.896	4.896	28.785	7070.00	11295.60	43341	493.00	2784.60	7036
3840	2160	10	204	3536.000	3539.416	3.416	26.696	6602.00	10744.60	49671	408.00	2325.60	5044
3840	2160	100	204	3536.000	3539.815	3.815	32.191	4909.00	10984.80	46191	253.00	835.40	1204
3840	2160	250	204	3536.000	3571.995	35.995	49.054	5786.00	23501.80	63054	491.00	1344.80	2680
3840	2160	500	204	3536.000	5330.396	1794.396	101.560	29760.00	37714.20	122960	1259.00	2383.20	5830
3840	2160	1000	204	3536.000	7098.399	3562.399	70.262	37271.00	54436.40	84362	3088.00	5635.00	11894
3840	2160	2000	204	3536.000	7736.075	4200.075	143.038	37768.00	66715.40	157338	5747.00	11200.20	27075
