canvas_w	canvas_h	dab_radius_px	event_count	stroke_duration_ms	wall_total_ms	behind_by_ms	max_event_behind_ms	cpu_median_us	cpu_p95_us	cpu_max_us	gpu_median_us	gpu_p95_us	gpu_max_us
1280	720	1	204	3536.000	6649.136	3113.136	107.860	29945.00	70115.40	122160	0.00	0.00	0
1280	720	10	204	3536.000	4541.740	1005.740	42.393	20086.00	41459.20	62276	0.00	0.00	0
1280	720	100	204	3536.000	3551.080	15.080	2.434	6445.00	9715.00	16534	0.00	0.00	0
1280	720	250	204	3536.000	3553.712	17.712	23.912	4399.00	8039.00	37912	0.00	0.00	0
1280	720	500	204	3536.000	3554.084	18.084	26.860	3402.00	5445.40	41160	0.00	0.00	0
1280	720	1000	204	3536.000	3558.821	22.821	22.761	2959.00	4540.40	37061	0.00	0.00	0
1280	720	2000	204	3536.000	3551.906	15.906	8.306	2494.00	3455.80	44006	0.00	0.00	0
1920	1080	1	204	3536.000	9904.805	6368.805	127.435	43603.00	108305.60	141735	0.00	0.00	0
1920	1080	10	204	3536.000	6588.677	3052.677	92.560	29418.00	69017.40	106860	0.00	0.00	0
1920	1080	100	204	3536.000	3563.065	27.065	29.632	7600.00	13752.20	43932	0.00	0.00	0
1920	1080	250	204	3536.000	3551.525	15.525	42.275	5667.00	8884.20	56575	0.00	0.00	0
1920	1080	500	204	3536.000	3553.808	17.808	23.726	4149.00	7087.40	45226	0.00	0.00	0
1920	1080	1000	204	3536.000	3556.758	20.758	28.793	3555.00	5523.20	43093	0.00	0.00	0
1920	1080	2000	204	3536.000	3559.108	23.108	27.548	3180.00	5153.40	41848	0.00	0.00	0
2560	1440	1	204	3536.000	13050.807	9514.807	162.051	57118.00	143101.00	176251	0.00	0.00	0
2560	1440	10	204	3536.000	8716.051	5180.051	103.349	38366.00	88200.60	117649	0.00	0.00	0
2560	1440	100	204	3536.000	3551.742	15.742	20.017	8007.00	13621.80	38992	0.00	0.00	0
2560	1440	250	204	3536.000	3552.366	16.366	28.049	6177.00	10223.60	42049	0.00	0.00	0
2560	1440	500	204	3536.000	3555.958	19.958	27.472	4718.00	7905.00	41772	0.00	0.00	0
2560	1440	1000	204	3536.000	3556.287	20.287	27.336	4170.00	7872.80	41381	0.00	0.00	0
2560	1440	2000	204	3536.000	3556.038	20.038	27.359	3865.00	7721.00	39631	0.00	0.00	0
3840	2160	1	204	3536.000	21150.262	17614.262	464.924	93961.00	213552.80	486424	0.00	0.00	0
3840	2160	10	204	3536.000	13370.298	9834.298	180.064	60838.00	135738.00	194364	0.00	0.00	0
3840	2160	100	204	3536.000	3552.518	16.518	32.414	9273.00	17531.20	46714	0.00	0.00	0
3840	2160	250	204	3536.000	3553.409	17.409	34.741	7677.00	14080.40	49041	0.00	0.00	0
3840	2160	500	204	3536.000	3556.361	20.361	34.838	6199.00	11522.40	48838	0.00	0.00	0
3840	2160	1000	204	3536.000	3591.228	55.228	49.160	6515.00	26112.80	70560	0.00	0.00	0
3840	2160	2000	204	3536.000	4784.918	1248.918	129.758	24225.00	39115.20	144058	0.00	0.00	0
